,labels,sentences
345,sadness,"When I argue with my mother about the way she treats her two  
children differently."
346,disgust,Spit and vomit.
347,shame,Spots on the seat covers of my husband's car.
348,guilt,"Not speaking to my sister-in-law due to lack of interest in a  
relationship on my side."
349,joy,"When I recently managed to get my first consulting assignment  
""myself"" i.e on my own initiative."
350,fear,"I was within a hair's breadth of knocking down a drunkard who  
suddenly ran into the street.  The fear came later when I      
realized what could have happened."
351,anger,"When my friend, as usual, forgot the tickets at home for a  
performance.  We missed it."
352,sadness,"The elections of 1982 and 1985.  The thought of what a social  
democrat and communist majority could achieve, especially ""worker  
share"" funds and its extension."
353,disgust,"A study visit to a chicken factory : the butchery, the smell,  
the environment and the noise."
354,shame,Confession to my parents about my involvement in a moped theft.
355,guilt,"[ No answer as I see very little difference between shame and  
guilt.  Therefore see answer for ""shame"".]"
356,joy,"When I was appointed to position of trust in a group set up to  
change the working environment."
357,fear,"I was alone in a cottage I often stay in.  I was woken up by a  
rustling sound in the middle of the night."
358,anger,"When I tried to explain to a plumber, face to face, that the  
toilet was broken and he did not believe it (it had been mended  
ten times)."
359,sadness,"When the result of a project work was treated nonchalantly  
intead of being criticized by the teacher."
360,disgust,When programmes on violence or pornography are shown on T.V.
361,shame,"When I talked maliciously about a colleague at work to someone  
else.  Immediately afterwards I felt ashamed."
362,guilt,"When I decided to take a week s holiday without consulting the  
family first."
363,joy,"After my girl and I talked things over our relationship changed  
and became positive.  A diificult time turned into pleasant one."
364,fear,"When we could not land our plane and we knew that the fuel was  
running out.  Bad weather had already frightened us."
365,anger,"When I read about Reagan's tactical decision concerning the  
South African boycott."
366,sadness,"When my half brother became seriously ill with cancer and died  
later."
367,disgust,"A film were a woman was attacked and raped.  One did not see the  
worst but it had the desired effect - very strong."
368,shame,"I made a comment and it was interpreted completely differently  
from what I had meant.  When I said it I realized how my mother  
had understood it."
369,guilt,"I had promised to visit my girlfriend but for different reasons  
could not make it.  I rang up later to tell her that I could not  
come."
370,joy,"When I was offered a high position of trust, which I later  
accepted."
371,fear,"I had the window open and the door was shut so that the kitten  
would not go out.  My partner came in and started talking about  
something and I forgot about the window and suddenly I saw the  
kitten hanging from the window frame. I was rigid with fright  
till I got hold of her."
372,anger,"Some noisy guests arrived at the hotel.  I had been slightly  
irritated earlier.  At night when I was trying to sleep they were  
having a party so I went and yelled at them.  I wanted to sleep  
as I had to get up early the next day."
373,sadness,"When I was told that I had not been successful in getting the job I  
had been expecting.  I was sure that I was sufficiently  
qualified."
374,disgust,"When my cat vomited and a worm came out which was still alive.  I  
was forced to wipe it up."
375,shame,"When I was a child it was found out that I had taken off my  
clothes outdoors.  It was summer and my friend and I were out  
in the woods.  It had felt exciting at that time.  My parents  
discovered that my trousers were back to front and I felt  
ashamed."
376,guilt,"When I stole money from my mother and she asked me later if I was  
responsible.  I never admitted it."
377,joy,"[ Cycling in the spring sunshine gives me such delight.   
Happiness is to be healthy, my wonderful finance.  Simply being  
here on earth.]"
378,fear,"When my relationship with my family is very poor I often fear  
being excluded from the group, a fear which is stronger in  
situations when an argument is on hand."
379,anger,"Recently when my sister, who is four years younger than me and  
very spoiled, shouted at my mother for no apparent reason .  The  
heart-broken expression on my mother's face made me feel very  
angry."
380,sadness,"When I watched the T.V programme called ""The living planet"" and  
saw the far reaching environmental destruction caused by man."
381,disgust,"Disgust is a feeling that I have never experienced with peoplie  
but , on the other hand, it has been with repulsive animals, i;e  
snakes on T.V."
382,shame,"When relatives have acted strangely, and unfriendly towards me."
383,guilt,"When ,due to hunger and tiredness, I became generally irritated  
with my fiancee and made cutting remarks which really hurt him.   
Later I realized that my unfounded irritation had hurt the person  
I love most on earth."
